temperature,thread_id,iteration,map_filename,no_of_agents,no_of_goals,per_point_diff,score,per_point_score,coeff_per_point_diff
2,2,1,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.48784,0.046647,15,
1,7,2,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.61688,0.0490665,15,
2,2,3,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.48784,0.046647,15,
1,1,4,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.61688,0.0490665,15,
3,2,5,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.1373,0.0400744,15,
1,7,6,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.61688,0.0490665,15,
3,2,7,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.1373,0.0400744,15,
2,1,8,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.61177,0.0489707,15,
3,3,9,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.1373,0.0400744,15,
1,7,10,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.61688,0.0490665,15,
0,6,11,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.48784,0.046647,15,
2,6,12,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,0,0,15,
2,0,13,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.3411,0.0438957,15,
4,8,14,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,0,0,15,
3,9,15,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,0,0,15,
3,4,16,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.1373,0.0400744,15,
3,9,17,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,0,0,15,
2,7,18,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,0,0,15,
3,9,19,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,0,0,15,
0,0,20,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.48784,0.046647,15,
