temperature,thread_id,iteration,map_filename,no_of_agents,no_of_goals,per_point_diff,score,per_point_score,coeff_per_point_diff
1,9,1,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.41131,0.063962,15,
2,5,2,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.21786,0.0603349,15,
2,6,3,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.88287,0.0540538,15,
3,3,4,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.06992,0.0575611,15,
4,6,5,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.77248,0.051984,15,
3,9,6,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.99416,0.0561405,15,
2,1,7,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.81716,0.0528218,15,
3,9,8,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.99416,0.0561405,15,
4,8,9,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.92302,0.0548067,15,
2,1,10,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.81716,0.0528218,15,
3,5,11,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.88287,0.0540538,15,
0,8,12,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
0,8,13,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
0,8,14,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
3,5,15,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.84513,0.0533461,15,
4,5,16,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.69821,0.0505915,15,
2,5,17,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.96569,0.0556067,15,
0,1,18,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.90283,0.0544281,15,
4,5,19,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.85037,0.0534445,15,
0,1,20,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.58147,0.0484026,15,
3,7,21,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
3,7,22,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
1,1,23,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.77042,0.0519454,15,
1,2,24,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76678,0.0518772,15,
2,2,25,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.71386,0.0508848,15,
2,5,26,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.9057,0.0544819,15,
4,5,27,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.85037,0.0534445,15,
0,7,28,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76357,0.0518169,15,
2,7,29,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.8164,0.0528075,15,
4,9,30,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.75517,0.0516595,15,
4,2,31,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
4,8,32,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.49361,0.0467552,15,
3,9,33,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.59033,0.0485687,15,
4,0,34,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.64677,0.0496269,15,
3,0,35,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.71582,0.0509217,15,
4,8,36,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.49361,0.0467552,15,
1,1,37,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.81987,0.0528726,15,
1,4,38,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.49361,0.0467552,15,
1,6,39,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.80597,0.052612,15,
0,7,40,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.75105,0.0515821,15,
2,9,41,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
3,3,42,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
4,4,43,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
3,6,44,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
4,4,45,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
3,3,46,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.49361,0.0467552,15,
4,3,47,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.64677,0.0496269,15,
4,3,48,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.67163,0.050093,15,
3,6,49,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.61879,0.0491023,15,
3,0,50,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.49361,0.0467552,15,
0,6,51,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
1,6,52,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
1,7,53,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.47739,0.0464511,15,
3,2,54,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.59033,0.0485687,15,
2,0,55,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.8007,0.052513,15,
3,2,56,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.49361,0.0467552,15,
